"","score","text"
"Reviews26",0,"The Restaurant Manager has no atticates to speak to a lady, so if you wish to get insulted then you can drop down here!Whatever u wish to have from the menu they dont wish to serve as they will only …MoreThe Restaurant Manager has no atticates to speak to a lady, so if you wish to get insulted then you can drop down here!Whatever u wish to have from the menu they dont wish to serve as they will only serve what they wish too not what the customer wants!Poor Food quality coupled with horrible customer service!!!A place to be best avoided!!! I have travelled and eaten in more than 40 plus countries but this places sucks big time."
"Reviews27",2,"Good Ambience.Great sevice. Tasty Food and Wide Variety of items in menu."
"Reviews28",2,"Food is excellent.Staff are well behaved and professional. Ambience is good..I think the best restaurant in Kharagpur."
"Reviews29",3,"Reopened quietly after a long closure with promise of a different and pleasant culinary experience. Best wishes to the new owners."
"Reviews30",4,"Chinese food is best in town... Staff very humble and courteous. Strongly recommended."
"Reviews31",0,"This hotel full AC room...  & VIP  Chainiss food.. /etc"
"Reviews32",1,"Food quality is awesome"
"Reviews33",1,"Good service"
"Reviews34",2,"A nice family restaurant with good ambience."
"Reviews35",2,"Good place for North Indian food, though on the expensive side with respect to Kharagpur dining standards but it's worth it."
"Reviews36",2,"Good food..but staffs are not humble"
"Reviews37",-1,"Chinese dishes are okay.... But expensive"
"Reviews38",2,"Good food and nice service"
"Reviews39",1,"New restaurant near IIT Kharagpur. The food quality was good."
"Reviews40",3,"The Chinese dishes are good and new in taste. The staffs are well behaved and polite"
"Reviews41",1,"Good and hygienic food."
"Reviews42",1,"Food tastes good."
"Reviews43",1,"Good place for eating"
"Reviews44",0,"Good Food. On the costlier side."
"Reviews45",1,"Good place to stay"
"Reviews46",2,"Enjoy very much. Every one like the service."
"Reviews47",1,"Service is great.Fish items are worthy of trying."
"Reviews48",1,"One of the best dining places in Kharagpur"
"Reviews49",0,"The old Waldorf in new look with new menu, new taste."
"Reviews50",1,"Very good food and hospitality."
"Reviews51",1,"Best for Chinese"
"Reviews52",0,"Kharagpure"
"Reviews53",1,"Good price"
"Reviews54",0,"Yummy food...."
"Reviews55",0,"Come here for Chinese."
"Reviews56",1,"Good restaurant."
"Reviews57",1,"Lovely place"
"Reviews58",1,"Good place"
"Reviews59",1,"Nice foods"
"Reviews60",0,"Food is good, but expensive"
"Reviews61",1,"Not good"
"Reviews62",-1,"Poor service"
"Reviews63",0,"Food"
"Reviews64",0,",😐😀😀😀"
"Reviews65",1,"Nice place"
"Reviews66",1,"Love it"
"Reviews67",2,"Nice place for good Chinese food."
"Reviews68",1,"chinese food with taste very close to authentic chinese. a bit on the expensive side but quantity served is good."
"1",81,"TOTAL"
