"","score","text"
"Reviews29",1,"Awesome tastes in all food"
"Reviews30",0,"Populated menu,Good food,Nice service,Nice environment"
"Reviews31",1,"Not good food."
"Reviews32",0,"Good food at cheap rates!"
"Reviews33",-1,"Bit costly food"
"Reviews34",0,"The food they give is mostly of adequate quality but sometimes they give bad quality food and I have to go to the counter to give order."
"Reviews35",0,"Prices are a bit high"
"Reviews36",2,"Delicious food available"
"Reviews37",2,"Offers good variety of cuisines.It has also an option of Meal(Like Veg Meal,Fish Meal, etc.) during lunch hours."
"Reviews38",-1,"Worst food. Ordered chilli chicken twice and the dishes had different colors. No consistency. Once ordered Biriyani and the Biriyani was stale, rice had fermented. Even roadside eateries serve better Biriyani than this restaurant. The Biriyani was some stale rice covered with mutton/chicken curry on top."
"Reviews39",1,"Food quality is good"
"Reviews40",1,"Not very reliable"
"Reviews41",1,"Good restaurant"
"Reviews42",-1,"tandoori chicken is very bad here they serve half boiled chicken.......ok for other items"
"Reviews43",1,"With good food."
"Reviews44",2,"Excellent food available"
"Reviews45",0,"Should be avoided unless you have no other choice. Poor service, esp uncurtious staff at counter.If you have been to a fair price shop, you get similar feeling here. You end up …MoreShould be avoided unless you have no other choice. Poor service, esp uncurtious staff at counter.If you have been to a fair price shop, you get similar feeling here. You end up thanking the almighty for finally having been served your order.and ofcourse the staff do feel it a favor on you.Food is ok as per the locale. But, nothing out of the world.See how much time I have to write a longish review as I wait to be served.Better try the time tested Heritage restaurant barely 500m away, than wasting your time here. Unless you like to wait endlessly though.Only saving grace is the taste of food, but, that is quickly marred by the mosquito bites and the smell from the urinal nearby.That is all folks let me enjoy some chat with my friends also. Another way to kill time."
"Reviews46",0,"Party after xam- quality of food z quite good... Variety of soft drink z nt present....worst service.... …MoreParty after xam- quality of food z quite good... Variety of soft drink z nt present....worst service....Heritage nd Sahara r the better option than dreamland"
"Reviews47",-1,"The last place to go..poor service, bad taste and quality of food.."
"Reviews48",0,"The food is not value for money."
"Reviews49",1,"Nice food, although the place lacks hygiene and staff humility"
"Reviews50",0,"Service standards can vary"
"Reviews51",-1,"Food some how good.staff behaviour is very very very bad."
"Reviews52",1,"Good place"
"Reviews53",0,"Dnt evr try 2 vst der.. no rspns.. servc z wrst.."
"Reviews54",1,"Service is not good"
"Reviews55",0,"Average restaurant"
"Reviews56",1,"Nice"
"Reviews57",1,"Nice"
"Reviews58",-1,"Service is average but place lacks hygiene"
"Reviews59",-1,"Worst service...don't go in this..."
"Reviews60",0,"Below average food"
"Reviews61",0,"Food is not tastey"
"Reviews62",0,"Skip a meal instead of coming to this place"
"Reviews63",1,"Decent"
"Reviews64",-2,"Overpriced and overrated.."
"Reviews65",1,"Not a cheerful service"
"Reviews66",-1,"worst place"
"Reviews67",0,"Dinner"
"Reviews68",0,"Suparab"
"Reviews69",0,"(Translated by Google) Restaurant, briquette(Original)Resturent, iit"
"Reviews70",0,"(Translated by Google) Beach(Original)Sahil"
"1",35,"TOTAL"
