"","score","text"
"Reviews27",0,"A hotel having lodging and fooding facilities near IIT Kharagpur"
"Reviews28",4,"Good for casual stay, definitely not recommended for a luxurious stay. Rooms are very small but services and facilities are quite good for such small hotels."
"Reviews29",0,"Good hotel. It is 0.5 km from IIT Kgp Puri gate. You have to cross 3 rail lines on the walkway."
"Reviews30",-1,"Good but food is very cheap quality, if any body wants to smoke hookah and drink beer it is the place thn"
"Reviews31",-1,"Very bad room and staff"
"Reviews32",1,"The rooms are not clean enough and the single bedded rooms are horribly bad.  Service is average."
"Reviews33",3,"Nice , convenient a cozy place to spent some time here."
"Reviews34",1,"Service was good"
"Reviews35",2,"Park steet  most attraction,  plus  The  Tantra  main  attraction"
"Reviews36",1,"Average stay. Food quality is good."
"Reviews37",1,"Convenient for all visiting IIT, Kharagpur"
"Reviews38",2,"Good place for lunch and dinner. The food is satisfactory."
"Reviews39",0,"I stayed there in  Nov 16, during my official visit to khragpur.I stayed fr 15 days with my family and 1 yr baby.My stay at hotel park is safe,enjoyable and homely.I found staffs cooperative.Cleanlyness and hygiene of d rooms r comparable …MoreI stayed there in  Nov 16, during my official visit to khragpur.I stayed fr 15 days with my family and 1 yr baby.My stay at hotel park is safe,enjoyable and homely.I found staffs cooperative.Cleanlyness and hygiene of d rooms r comparable to highclass hotels.Room rent is affordable and economical fr middle class like us.I really appreciate the hotel and must visit it my next tour to KGP..THANKS TO HOTEL STAFF."
"Reviews40",-5,"I had a very bad experience with hotel..Dirty bedsheets, dirty room, bad food,  worst room service, they charged for AC room but the AC remote is not working... worst hotel ever i visited in my life."
"Reviews41",0,"It's ok"
"Reviews42",1,"Good to stay"
"Reviews43",1,"Decent hotel"
"Reviews44",1,"Good services"
"Reviews45",0,"Good....Hotel....&....Good....Quality...Foods...."
"Reviews46",0,"U can enjoy there..dring smoke anything"
"Reviews47",-2,"Very expensive charge by providing cheap rooms"
"Reviews48",-1,"Stay away from this hotel. Food poisoning.dirty bed sheets and bad attitude of management"
"Reviews49",0,"Bad hotel. I wish I could give a rating of zero. Kgp campus rooms will be 100 times better"
"Reviews50",2,"A quiet place for staying with family. Food in the restaurant also nice."
"Reviews51",0,"Waiters keep on asking for tips."
"Reviews52",1,"Good"
"Reviews53",1,"Good"
"Reviews54",-1,"Rooms are bad"
"Reviews55",1,"Good place"
"Reviews56",-1,"Horrible Staying for Family room"
"Reviews57",0,"donot go with family, it is a drinking place"
"Reviews58",-1,"Cheap liquor"
"Reviews59",1,"A decent place to hangout with friends."
"Reviews60",-2,"Pathetic hotel. Very bad hotel service. Iit kgp alumni please avoid."
"Reviews61",-1,"Just bad"
"Reviews62",1,"Good"
"Reviews63",1,"Good hotel"
"Reviews64",-2,"Worst service ever. First waiters decide if you seat in family lounge or drinks lounge. Waiters  literally asks for tips and that too 20-30bucks if you don't give u get words to hear. Pathetic place"
"Reviews65",1,"Reasonable rates and 24 hours checkouts"
"Reviews66",1,"Very expensiveFood is not that good"
"Reviews67",1,"Good service"
"Reviews68",0,"Nice foood but Bad service"
"Reviews69",1,"Perhaps the oldest hotel in the locality. Quite safe and reliable.There is huge rush during admissions."
"Reviews70",2,"Nice place for family dinner or lunch...bar facility also available"
"Reviews71",0,"Bar and restaurant"
"Reviews72",1,"Nice place."
"Reviews73",1,"Nice food"
"Reviews74",1,"Good hotel"
"Reviews75",1,"Ok. Not that great"
"Reviews76",0,"Dining"
"Reviews77",0,"I wish I could give zero rating"
"Reviews78",1,"Affordable place. Need to focus more on maintenance"
"Reviews79",3,"Very good service as it lightens your purse.... Food is awesome... I always come here with my ducking friends to have lots of fun :-p"
"Reviews80",0,"Have the best f my memories with dis place...awesome food..but dont mess with the waiter..!"
"Reviews81",0,"Thanks"
"Reviews82",1,"Nice"
"Reviews83",-1,"Worst to stay"
"Reviews84",1,"Good"
"Reviews85",0,"Average hotel for stay.."
"Reviews86",0,"Room was ok."
"Reviews87",1,"Nice place"
"Reviews88",0,"Needs upgradation"
"Reviews89",1,"Good place for staying..."
"Reviews90",2,"This hotel don't want to improve and to make cleans/to improve facilites"
"Reviews91",0,"Higher price"
"Reviews92",0,"hoof"
"Reviews93",1,"Good"
"Reviews94",0,"The Plan B."
"Reviews95",1,"Good place"
"Reviews96",1,"Cool"
"Reviews97",2,"Variety not available"
"Reviews98",0,"Needs some maintenance, regulations are not followed at all."
"Reviews99",1,"Good Service.."
"Reviews100",1,"A Good hotel in the town"
"Reviews101",0,"Eonty"
"Reviews102",0,"(Translated by Google) Puri Gate.(Original)পুরী গেট।"
"Reviews103",-1,"Terrible place"
"Reviews104",-1,"Poor service.."
"Reviews105",1,"Nice"
"Reviews106",0,"3 to 4 restaurants near it"
"Reviews107",1,"Good"
"Reviews108",1,"Good"
"Reviews109",-1,"Gd but servicing is very slow"
"Reviews110",1,"Very good inn"
"1",54,"TOTAL"
