"","score","text"
"Reviews19",1,"Nice place to spent a eve with your near and dear once.."
"Reviews20",-2,"Hookah smell in non hookah section makes it wrost place for those who dont smoke"
"Reviews21",0,"Costly. Chicken items available up to 2pm. You can try bullet chicken. It's spicy."
"Reviews22",0,"Flavors the battle of dishes, as the tag line says its  really a battle with dishes, you can find no of dishes from starters to smoothies. Desserts too special. As far as I'm known this is only place in KHARAGPUR which has shisha/hukkha …MoreFlavors the battle of dishes, as the tag line says its  really a battle with dishes, you can find no of dishes from starters to smoothies. Desserts too special. As far as I'm known this is only place in KHARAGPUR which has shisha/hukkha section and they have rich looks and sets perfect stage for parties. It's dj and smoke effect is awesome. Starts at 10 pm every night with high end sound system and smokes. Hindu to English telugu to Tamil all songs mix and only dance."
"Reviews23",4,"food is good, service is good, all in all its good but nothing exceptional."
"Reviews24",1,"Generally I didnot eat at kharagpore Restaurents.but Ihave seen the exterior of the flavour.and heard foods are good.Ithink Its interior also nice."
"Reviews25",2,"Nice place for to enjoy their treat"
"Reviews26",2,"One of the best Restaurants in Kharagpur. The starters are really nice. Make sure you book ahead of you're going on a weekend!"
"Reviews27",0,"Today I ordered Chicken sweet and sour. But the chicken pieces are not properly cooked. But most unfortunately the waiter and other staffs contested me that the chicken pieces are boiled. Though I paid the bill but will not suggest others to go there."
"Reviews28",5,"Good food and nice environment for a fun filled get together with your friends. Very spacious and well maintained establishment."
"Reviews29",2,"love the food and ambiance very much, even its available for booking entirely for couple of hours for big parties and get together."
"Reviews30",-1,"We ordered Handi Chicken. It was smelling awfully. Its was smelling like 1 - 2 day old chicken kept without refrigerator. But its one of the best place to eat near Kharagpur."
"Reviews31",2,"Very nice place for food and hooka. Nice interior and mouth watering food."
"Reviews32",2,"Hookah zone and non hookah zone are there.  You can have very good quality of food and soft shakes"
"Reviews33",-2,"Very bad behaviour and food quality is very bad"
"Reviews34",2,"Its good place with nice ambience"
"Reviews35",3,"Good food starters we're awesome but the main course was a little less tasty yet overall quantity and quality was good."
"Reviews36",3,"Best hookah bar in the area along pretty good dancing area"
"Reviews37",4,"Nice place to dine and celebrate Birthdays and other parties. Nice music and great ambience."
"Reviews38",1,"Every thing is good except waiters"
"Reviews39",3,"Great restaurant in a place like Kharagpur. Popular for birthday and graduation treats. Also has a hookah zone."
"Reviews40",5,"Good restaurant,, foods and good and environment is very favorable and very clean and well maintained."
"Reviews41",0,"Worst service... Essse better ki mai lbs hall ka khana kha leta😢😢😢"
"Reviews42",1,"Yummy & tasty food... little costly..BT nice place..."
"Reviews43",2,"Nice place, good food"
"Reviews44",-1,"Food is ok but expensive."
"Reviews45",1,"It's very difficult to find such good places in Kharagpur to dance, organize treats and eat good food!"
"Reviews46",0,"Very gd place to go with family,gf,and friends.reasonable price with superb food quality.dont miss this place."
"Reviews47",1,"Nice family restaurant..Hukka Bar is also there"
"Reviews48",2,"1. Ambience: 5/52. Overall food quality is very good. Starters are just awesome. 5/53. Behavior of the staffs is also good. 5/54. Not much costly. 5/5"
"Reviews49",4,"Nice Resturant with a pleasure enviornment with Fast Serving and Good Food...but the price is little high..."
"Reviews50",4,"Unique ambience, courteous staff; impeccable and perceivably well trained, food is delectable yet leans conspicuously on the spicier side. Houses a hookah space as well."
"Reviews51",6,"The most awesome place in kharagpur which serves the best food, a good ambience and a entertaining combination of hukka and music. It's a good place to get refreshed."
"Reviews52",1,"you can get tasty delicious dishes here......"
"Reviews53",0,"A go to place for parties if you are a student of IIT Kharagpur"
"Reviews54",0,"This is probably the only place in Midnapore - Kharagpur area where you can find hookah bar with disco facility. Foods are tasty, but little bit salty and much spicy."
"Reviews55",1,"Good food... Nice place.. Common sense says dance floor and family restaurant does not mix... Flavour does not seem to care. Never go after 9pm.. can't even talk to person beside you due to noise from dance floor"
"Reviews56",1,"Excellent arrangement for veg and Non veg both"
"Reviews57",2,"Great place for gathering.Service is good.Hookah bar available."
"Reviews58",1,"Good place to hangout with friends, it has a little space for dance but after 10 pm with descent Indian music"
"Reviews59",3,"Nice place, good food. Great place for large groups"
"Reviews60",2,"Nice place to food....... Good ambience"
"Reviews61",1,"If want to go for a party or treat at weekend, I think these is the best place at Kharagpur. It has disco facility in the Hookah section."
"Reviews62",2,"Good food quality and nice service..."
"Reviews63",8,"ONE OF THE BEST  AC  RESTAURANT IN KHARAGPUR. LOCATION IS VERY GOOD. HAVE GOOD PARKING FACILITY.PROVIDING GOOD QUALITY /HYGENIC FOOD. REASONABLE RATE. BEAUTIFUL ENVIRONMENT. BEHAVIOUR OF ALL STAFFS ARE FINE. HOME DELIVERY FACILITY AVAILABLE."
"Reviews64",3,"Nice music... Good environment... Good food quality."
"Reviews65",2,"Good food | good ambience"
"Reviews66",2,"Probably only decent place in kharagpur... Needs better food but.."
"Reviews67",0,"Be sure to make a reservation before you arrive, especially on weekends"
"Reviews68",2,"Coocking is really good.. and environment also good.."
"Reviews69",0,"Quality of food degraded. Waiters themselves agree to this fact."
"Reviews70",1,"Great place for a party !!"
"Reviews71",1,"A family restaurant, the best restaurants."
"Reviews72",0,"Waiting time is too long for"
"Reviews73",2,"Good food, nice ambiance."
"Reviews74",2,"Best restaurant in Kharagpur by far. Hookah lounge is good for parties."
"Reviews75",1,"Starters are really good here"
"Reviews76",2,"The snacks are excellent as expected. The main course items are also the same. They prepare food items with love. I can't mention any single item leaving others."
"Reviews77",1,"Good food facility in Kharagpur industrial area."
"Reviews78",1,"Nice place for dinner"
"Reviews79",6,"One of the best resturent in the city with hookah bar and lovely delicious dishes ,non smoking zone are available ,good place for friendly gathering and family resturent"
"Reviews80",-1,"Food quality ok, serving time very poor."
"Reviews81",1,"Nice place for family outing"
"Reviews82",2,"Good food with decent service"
"Reviews83",3,"Nice place.. Good ambiance.. Food is awesome.."
"Reviews84",1,"Super taste"
"Reviews85",1,"Best in Kharagpur"
"Reviews86",2,"Nice place.. but taste of food is not good..."
"Reviews87",0,"Awesome place to hang out with friends 😃"
"Reviews88",0,"Family restaurant and hookah bar are separated.. Also has parking facility"
"Reviews89",1,"Awesome but the price of any plate is high"
"Reviews90",1,"one of the best place to eat spicy foods"
"Reviews91",3,"A nice restaurant with Indian and Chinese Food. The place also has a separate smoking section with a Hookah-Bar. It has a substantial menu, but most soups and kebabs are recommended, along with sizzlers. The prices are a economical and in line with the food offered at the restaurant."
"Reviews92",1,"The place is amazing and the food is also yummy but not as hotel greenland"
"Reviews93",0,"Ok"
"Reviews94",1,"It is a nice place to hangout with friends specially for IIT KGP students."
"Reviews95",3,"just awesome loved it liked it"
"Reviews96",-1,"Preparations is so bad in puja session."
"Reviews97",0,"Was too busy dancing, did not give attention to the food!"
"Reviews98",3,"The food and ambience is better than average, but hot coffee is not available at all hours, and that can be a major irritation for coffee-lovers like myself!!!"
"Reviews99",1,"Nice ambience"
"Reviews100",1,"Good food"
"Reviews101",0,"Waiting time is more"
"Reviews102",0,"Compulsorily have to consume hookah"
"Reviews103",2,"Great veg starters collection : Chinese Behl, American Corn, Crispy Baby Corn are worth a try. dance floor, disco ambience :)"
"Reviews104",3,"Excellent ambiance good foo d one and only luxurious restaurant in kgp"
"Reviews105",1,"Good food"
"Reviews106",1,"Nice restaurant"
"Reviews107",0,"The most tasty food at inda"
"Reviews108",1,"Good BAR cum Restaurant for Parties"
"Reviews109",0,"Tasty food. Long time to serve"
"Reviews110",2,"Best in kharagpur. Best for both vegetarians and non-vegetarians."
"Reviews111",0,"Good food but very poor hospitality, often one needs to wait a lot for their turn."
"Reviews112",1,"Best place in kharagpur"
"Reviews113",0,"Superp food"
"Reviews114",1,"good place for eating"
"Reviews115",2,"Flavour is great. The food quality was awesome."
"Reviews116",-1,"Rejected customers...even when tables were empty"
"Reviews117",1,"Very nice"
"Reviews118",1,"Nice restaurant..."
"Reviews119",0,"Hospitality not at all satisfactory, yesterday visited there to have dinner along with my wife and 5 month old kid, first question waiters told me we have to vacate our table if other guests comes. Next question was was how much time it's …MoreHospitality not at all satisfactory, yesterday visited there to have dinner along with my wife and 5 month old kid, first question waiters told me we have to vacate our table if other guests comes. Next question was was how much time it's going to take to finish our meal even before sitting there. My wife and I was extremely frustrated by this kind of behavior and we left the restaurant."
"Reviews120",1,"It is a most famous  hotal"
"Reviews121",2,"Awesome place to hangout with friends .. Food is also great in here.."
"Reviews122",0,"Dimna road"
"Reviews123",1,"Good food.."
"Reviews124",1,"Good Food in the air with dancing shoes on."
"Reviews125",2,"Nice food, great place."
"Reviews126",1,"Excellent service"
"Reviews127",1,"It's good"
"Reviews128",1,"Excellent food service"
"Reviews129",0,"Can't expect more from Kharagpur"
"Reviews130",1,"Nice mostly"
"Reviews131",1,"Best place on Kharagpur"
"Reviews132",1,"Best restaurant in Kharagpur"
"Reviews133",1,"Good starters !!"
"Reviews134",0,"Food is good. staff attitude is a problem."
"Reviews135",0,"Used to be good, it's monotonous."
"Reviews136",0,"They taking more time to serve items"
"Reviews137",1,"Great place"
"Reviews138",1,"Best place to hangout in Kharagpur."
"Reviews139",2,"Good taste and good quality"
"Reviews140",1,"Great place..."
"Reviews141",0,"Near to my house"
"Reviews142",3,"Better serve, better quality, better choice."
"Reviews143",1,"Wonderful"
"Reviews144",4,"Good restaurant in kharagpur. Good ambience, nice music collection..... hookah is also available."
"Reviews145",1,"Great food here.."
"Reviews146",3,"Want some delicious food, it can be a good choice. I love to be here with my friends."
"Reviews147",2,"I came here since 2013. First and next few visits were impressive but as time passes away their service goes down below the mark. Even their Royalty cards don't seem to be useful till after 1 year. Food quality average bcoz most of the employee don't know which food is spicy and which one is non spicy."
"Reviews148",2,"Very good restaurant... Food is too good...."
"Reviews149",0,"Only counted restaurant in kharagpur"
"Reviews150",1,"Good place"
"Reviews151",3,"Good ambience unlike any other restaurants in Kharagpur. Always clean looking and waiters are good at service. Not to forget the DJ in the hookah room."
"Reviews152",-1,"Poor food quality"
"Reviews153",0,"So many memories and this place!"
"Reviews154",1,"Good"
"Reviews155",1,"Nice place"
"Reviews156",1,"Great service"
"Reviews157",1,"Best in kgp."
"Reviews158",0,"Ok type"
"Reviews159",1,"Nice family restaurant"
"Reviews160",1,"Nice & tasty food"
"Reviews161",1,"Awesome dish. Central attractions for IIT students"
"Reviews162",2,"Awesome place......food is also too good here."
"Reviews163",1,"Love the colours and the food tooo"
"Reviews164",-1,"arrogant service. you might be shouted upon by waiters and abused by the manager. better give it a miss if you have self respect."
"Reviews165",1,"Best restaurant in kharagpur"
"Reviews166",2,"A cool place to have a party with friends. The aura is awesome."
"Reviews167",0,"Hookah, disk, food all in one"
"Reviews168",3,"Excellent food quality, delicious food, good service and various recipes....what more can u expect from a restaurant ...specially in Kgp :P"
"Reviews169",1,"Very good but high price"
"Reviews170",-1,"I lyk it n hv been hea a couple f tyms .......I feel d price has increased drastically..... bt overall its gud"
"Reviews171",2,"Good place fot party with family. Nice food"
"Reviews172",1,"D food quality of flavours is really good n tasty"
"Reviews173",0,"Good....but include bar inspite of huka bar... Or both..."
"Reviews174",1,"Good place to hangout."
"Reviews175",0,"Test of food decreasing"
"Reviews176",0,"classy and costly"
"Reviews177",2,"Good food and nice service by the waiters"
"Reviews178",1,"It was very good for first six months."
"Reviews179",0,"Try soup here"
"Reviews180",1,"very good"
"Reviews181",-1,"food taste is just average...its deteriorating day by day"
"Reviews182",2,"Nice food and a good environment to eat"
"Reviews183",1,"Only good restaurant in Kharagpur"
"Reviews184",0,"Worst Reception. The waiters behave very badly. Upon complaining to manager, The order was cancelled by the manager in mid Afternoon. …MoreWorst Reception. The waiters behave very badly. Upon complaining to manager, The order was cancelled by the manager in mid Afternoon.Please do not visit here."
"Reviews185",1,"Loved"
"Reviews186",1,"Good food"
"Reviews187",1,"Nice decoration"
"Reviews188",1,"Good ambience and food"
"Reviews189",1,"Best food and service in Kharagpur"
"Reviews190",1,"fanstatic place , starters are yummy  and smoothies are very good."
"Reviews191",1,"Nice food"
"Reviews192",0,"😁"
"Reviews193",1,"Best food joint in kharagpur"
"Reviews194",1,"Good it is."
"Reviews195",1,"good food ,"
"Reviews196",1,"Good restaurant"
"Reviews197",-1,"Costly"
"Reviews198",1,"Nice place"
"Reviews199",1,"Excellent"
"Reviews200",1,"Good restaurant"
"Reviews201",-1,"TESTY FOOD"
"Reviews202",1,"Delicious mmm...."
"Reviews203",1,"Nice"
"Reviews204",2,"Good ambience delicious food"
"Reviews205",-1,"Cutlery sounds r very annoying..."
"Reviews206",1,"Nice decorative hotel."
"Reviews207",1,"Nice"
"Reviews208",1,"Awesome"
"Reviews209",1,"Good restaurant"
"Reviews210",0,"Oh"
"Reviews211",2,"Loved it too good"
"Reviews212",1,"Cool place to hangout"
"Reviews213",0,"Average food..."
"Reviews214",1,"Its awesome"
"Reviews215",0,"Starters"
"Reviews216",0,"keep it up...."
"Reviews217",1,"Good......"
"Reviews218",1,"Good"
"Reviews219",0,"No"
"Reviews220",0,"👌👌👌"
"Reviews221",1,"Best food in all of Kharagpur. Add to it the hookah availability and it becomes a one of place."
"Reviews222",1,"(Translated by Google) Good the spill(Original)Good rasturant"
"Reviews223",0,"(Translated by Google) Servic z gud .. fud z jst awsm .. …More(Translated by Google) Servic z gud .. fud z jst awsm ..(Original)Servic z gud.. fud z jst awsm.."
"Reviews224",0,"(Translated by Google) IM Chhota Bheem.(Original)Im chota bhim."
"Reviews225",0,"Raki Kalsa"
"Reviews226",0,"(Translated by Google) Darun ........(Original)Darun........"
"Reviews227",0,"(Translated by Google) magnitude(Original)kadir"
"1",267,"TOTAL"
