"","score","text"
"Reviews77",0,"You can't eat biryani here  if you had tasted biryani in hyderabad.You also get here a free aloo along with biryani which tastes awful."
"Reviews78",1,"I like the disiplane and the chicken biryani a lot...."
"Reviews79",-1,"The behaviour is not good which way the talking it really poor .the waiter behaviour to me is 2 poor"
"Reviews80",1,"biryani good"
"Reviews81",1,"Tasty food.  Best place for non veg at kharagpur"
"Reviews82",0,"They serve everything non veg.. even for veg food u have to specify explicitly"
"Reviews83",-1,"Not a bad this biryani center"
"Reviews84",0,"Waaaaa... Taj Best Biryani Center in Kharagpur... I Love it Chicken Biryani...🍗🍜"
"Reviews85",2,"Not like name...simple briyani ...and chiken kadai was not good....only eatable...i hav taken good on occation of dussherra"
"Reviews86",0,"As per the price quality is not up to the mark."
"Reviews87",1,"Biryani is good but not best...if you are from Hyderabad you will know the difference..."
"Reviews88",0,"Kharagpur no. 1 biryani"
"Reviews89",3,"Affordable and good tasty foods are available"
"Reviews90",1,"Awesome."
"Reviews91",3,"Once a good place known for good biriyani. Now they forgot cleanliness."
"Reviews92",1,"I P.Ramya food was delicious. I ask for delivery in the train for my parents. They delivered food on time."
"Reviews93",3,"Very good restaurant with large variety of good foods"
"Reviews94",1,"Nice biryani"
"Reviews95",2,"Wow nice"
"Reviews96",1,"Good biriyani among all nearby shops !!"
"Reviews97",0,"Just fatafati taste of foods here...."
"Reviews98",0,"Its biryani is out of this world"
"Reviews99",1,"The foods are really amazing"
"Reviews100",1,"Nice"
"Reviews101",1,"Good... for your health"
"Reviews102",2,"Good budget friendly restaurant..."
"Reviews103",1,"Ordinary.... Not so good..."
"Reviews104",0,"Average Tasty  biriyani"
"Reviews105",1,"My one of the favorite restaurant"
"Reviews106",2,"Good Biryani at affordable rates"
"Reviews107",0,"Mouth watering awesomeness💯"
"Reviews108",2,"Food good. Clean and quick service"
"Reviews109",1,"Serves the best biriyani I have ever tasted."
"Reviews110",2,"Good place for Biriyani lover."
"Reviews111",1,"No so good as it was before"
"Reviews112",0,"Ok"
"Reviews113",-1,"Bad ..."
"Reviews114",1,"Great food"
"Reviews115",1,"nice biriyani at all"
"Reviews116",0,"I love chicken bïryaní and chilli çhìcken."
"Reviews117",1,"Tasty food, reasonable price. They have been operating in the town for more than a decade."
"Reviews118",1,"I'm not a fan of this style of briyani, nevertheless it was good."
"Reviews119",-1,"Quality food but bit costly...."
"Reviews120",1,"Great place for dinning out"
"Reviews121",2,"It's good in town like Kharagpur."
"Reviews122",0,"Oily food.."
"Reviews123",1,"Biryani wasn't good"
"Reviews124",0,"No 1 in biryani"
"Reviews125",1,"Those who want halal chicken items outside IIT Kgp this is the best option"
"Reviews126",0,"Tasty food"
"Reviews127",0,"No other biryani point in that area"
"Reviews128",1,"Good biryani"
"Reviews129",1,"Best Biryani Restaurant in Kharagpur"
"Reviews130",0,"Quality biryani"
"Reviews131",1,"Good food."
"Reviews132",1,"Good foodcorner for Muglai gharana...love it .."
"Reviews133",0,"The taste of Biriyani is fantastic.👌👌👌"
"Reviews134",1,"Chicken biryani is awesome here."
"Reviews135",1,"Awsome"
"Reviews136",1,"Good place for eating biryani"
"Reviews137",0,"Ok"
"Reviews138",1,"The biryani is not so good"
"Reviews139",1,"for Biryani lovers this is heaven for you.."
"Reviews140",1,"Best mutton biryani in District."
"Reviews141",0,"Not so tasty as name suggests"
"Reviews142",1,"Amazing Biryani!"
"Reviews143",1,"Famous biryani"
"Reviews144",1,"Its good if you wanna have some chicken biryani."
"Reviews145",1,"The test of the biriyani is just Awesome......."
"Reviews146",1,"If you want to eat chicken biryani this is best place"
"Reviews147",1,"Very nice hotle"
"Reviews148",1,"Good"
"Reviews149",1,"Awesome food"
"Reviews150",1,"The best place for biryani in kharagpur"
"Reviews151",1,"best"
"Reviews152",0,"For biriyani lovers"
"Reviews153",-1,"Parcel counter when shifted aftr then the service goes poor"
"Reviews154",0,"Not a good place to take ur family location is dangerous"
"Reviews155",1,"Good"
"Reviews156",0,"Sera biriyani....."
"Reviews157",1,"Chicken biriyani is good"
"Reviews158",0,"average"
"Reviews159",1,"Very good food"
"Reviews160",0,"Restaurant"
"Reviews161",1,"Nice"
"Reviews162",1,"Good"
"Reviews163",0,"(Translated by Google) Best Biryani of Kharagpur area. Its taste is heavenly. But there are many other things besides Biriyani, although their taste is not significant. The price is quite cheap. But this place is not …More(Translated by Google) Best Biryani of Kharagpur area. Its taste is heavenly. But there are many other things besides Biriyani, although their taste is not significant. The price is quite cheap. But this place is not suitable for vegetarians.(Original)খড়গপুর এলাকার সেরা বিরিয়ানী। এর স্বাদ স্বর্গীয়। তবে বিরিয়ানী ছাড়াও অন্যান্য অনেক কিছুই পাওয়া যায় যদিও সেগুলোর স্বাদ উল্লেখযোগ্য নয়। দাম বেশ সস্তা। তবে নিরামিষভোজীদের জন্য এই জায়গা উপযুক্ত নয়।"
"Reviews164",0,"(Translated by Google) Tests ......... 😋😋😋(Original)Testy.........😋😋😋"
"Reviews165",0,"(Translated by Google) Awsum(Original)Awsum"
"Reviews166",1,"(Translated by Google) excellent service(Original)Excelente service"
"Reviews167",0,"(Translated by Google) Pronunciation. biriyani(Original)Uttal. Biriyani"
"1",163,"TOTAL"
