"","score","text"
"Reviews73",0,"After confirming my order for Choco pizza, they are cancelling my order by saying, sorry sir this item is currently unavailable, although while placing the order online, it shows that Choco pizza is available, it is quite annoying, although …MoreAfter confirming my order for Choco pizza, they are cancelling my order by saying, sorry sir this item is currently unavailable, although while placing the order online, it shows that Choco pizza is available, it is quite annoying, although in terms of food quality and timing i will give five star to them.... Only one Request to you dominos that please provide correct information online, because after placing our order online, you guys refuses to cancel or edit it....... Lastly thanks for providing me hot freshly prepared pizza and side kicks.... It is one and only pizza hub in west midnapore, so expectations from you a little bit high.... Thanks you dominos ☺️"
"Reviews74",1,"Very good place for dating."
"Reviews75",0,"No large pizza option and the flavors are okay"
"Reviews76",-1,"Only pizza house in the town.. Near kgp college..gud place to hang out with friends"
"Reviews77",2,"The place is good enough to hang out with friends. For IIT KGP students, it is the nearest place to taste some good quality pizzas."
"Reviews78",1,"Great! At least there's a Domino's at Kharagpur now"
"Reviews79",3,"The place was good, but the washroom needs improvement. It's stinky, and despite repeatedly asking the patron, the quality hasn't improved."
"Reviews80",1,"Quality food available there"
"Reviews81",2,"Good food & service, but they are pretty slow. Can improve speed."
"Reviews82",3,"A very good and decent food store in the town. Good service"
"Reviews83",2,"Good service and tasty food available"
"Reviews84",2,"Good place and fast service"
"Reviews85",1,"Yummy... Just love it..."
"Reviews86",2,"Pizza is good and also a very good place to hangout with friends and family"
"Reviews87",1,"Normal like interior, most if the times sides are not avalaible...only pizzas are there"
"Reviews88",1,"Nice place to have a pizza party with friends."
"Reviews89",0,"Average , sometimes good sometimes bad"
"Reviews90",2,"Domino's Pizza is really awesome and their service is very good."
"Reviews91",1,"If you want good quality pizza in Kgp, this is the only place"
"Reviews92",2,"Like any other Domino's. I prefer Pizza Hut over Domino's though."
"Reviews93",1,"The butterscotch mousse cake is awesome"
"Reviews94",1,"It food expression is very good"
"Reviews95",0,"A truly excellent place to hang out."
"Reviews96",1,"The one's who comes first they take their order later  this happened with me but the service is fast"
"Reviews97",-1,"Horrible experience..... Don't ...... Taste of Domino's Pizza not there......Lady executive r basically making full"
"Reviews98",1,"Good food."
"Reviews99",0,"Dominos Kharagpur is okay with its recipe, not great. However, they used set customers in quite long waiting time. Possibly they are more concern over 30 minutes delivery for online orders and kept on waiting the in house customers."
"Reviews100",1,"very good service."
"Reviews101",1,"Best pizza in khargpur"
"Reviews102",0,"The only domino's in Kharagpur 🙁"
"Reviews103",-3,"The food is just like other Domino's Pizza places so the food and its quality are not an issue. But the seats near the counter are very unhygienic and full of small insects and mosquitoes. The insects fall from the insect killer on to the table and maybe on the eatables of someone unfortunately has a seat there."
"Reviews104",2,"Great place to come.Service is good."
"Reviews105",3,"The staffs are good n hard-working. Impressed by their work"
"Reviews106",2,"Great for pizza lover"
"Reviews107",1,"Awesome delivery system"
"Reviews108",0,"Homely atmosphere."
"Reviews109",1,"I love domino's pizza"
"Reviews110",0,"It was a nice experience to be there. I felt it is a bit expensive"
"Reviews111",1,"Good place, but service is pretty slow."
"Reviews112",0,"Yummy 😋 pizza 🍕 stop at Atwals petrol pump, Inda, near kgp college."
"Reviews113",0,"Sooooooper"
"Reviews114",-1,"Very poor service and they don't have change"
"Reviews115",0,"Yummyyyy.. That's all wht i can say😉😋"
"Reviews116",3,"The only great thing in town that offers decent fast food."
"Reviews117",-1,"It's not bad"
"Reviews118",0,"Hungry..... Go there"
"Reviews119",1,"It would be better if they deliver pizzas at IIT KGP"
"Reviews120",1,"they serve life in kharagpur thank you"
"Reviews121",0,"Only thing in kkd"
"Reviews122",0,"Awseome and only one"
"Reviews123",3,"The food is good but the place outside  and inside the washrooms are not clean !Prefer to sit away"
"Reviews124",1,"Good food"
"Reviews125",1,"Great taste"
"Reviews126",1,"Nice one"
"Reviews127",1,"Very good place"
"Reviews128",1,"Good place for pizza lovers"
"Reviews129",1,"Good place in kgp"
"Reviews130",-1,"Food quality are going worse"
"Reviews131",1,"True ly good"
"Reviews132",1,"Awesome cheeseburst!!"
"Reviews133",1,"Food is good..."
"Reviews134",1,"Good food"
"Reviews135",1,"Good for Youth"
"Reviews136",1,"Good pizza"
"Reviews137",1,"Good service and environment"
"Reviews138",0,"Yummy.......pizzas a a a....Specially cheese burst pizzaaaassss ......"
"Reviews139",1,"Best pizza place in Kharagpur"
"Reviews140",0,"Yummy."
"Reviews141",0,"Good place to hang out"
"Reviews142",0,"Amazingly built space,  but offers less space.  Usually crowded and you have to wait."
"Reviews143",-1,"The only problem is that they don't take orders for single zingy parcel with a coke"
"Reviews144",0,"Because this please my business please"
"Reviews145",1,"Stor is not clean"
"Reviews146",1,"Good but service is very late."
"Reviews147",2,"Nice soft pizza"
"Reviews148",0,"Delivers to the brand value. Crowded on many occasions, but big enough to accommodate many."
"Reviews149",1,"Excellent service."
"Reviews150",1,"A nice place to hangout in Kharagpur region"
"Reviews151",0,"This is best place where we get fresh yummy pizza🍕"
"Reviews152",0,"Kharagpur has only one Dominos point. The ambiance is very cool, and the staffs are equally helpful. I have been there for takeaways several times. The food quality is good as usual. …MoreKharagpur has only one Dominos point. The ambiance is very cool, and the staffs are equally helpful. I have been there for takeaways several times. The food quality is good as usual.The only problem is that it is located very far away from IIT Kharagpur - and these Dominos guys do not provide home service in IIT. IIT is missing Domino's Pizza badly."
"Reviews153",0,"The pizzas are satisfactory, can be much better.😌"
"Reviews154",1,"Great as always"
"Reviews155",-2,"Highly overrated and lack of privacy"
"Reviews156",1,"Good"
"Reviews157",1,"Nice"
"Reviews158",1,"Nice"
"Reviews159",1,"Nice"
"Reviews160",1,"Good"
"Reviews161",1,"Good"
"Reviews162",1,"Excellent"
"Reviews163",0,"Slow service. But awesome food."
"Reviews164",2,"Really a great environment....... Love it"
"Reviews165",-1,"Worst service,worthless staffs,not really cleaned."
"Reviews166",1,"Awesome food"
"Reviews167",1,"Good"
"Reviews168",1,"I just love it"
"Reviews169",1,"Nice"
"Reviews170",0,"Best place to hang with friends or family"
"Reviews171",-1,"Hygiene is a big problem."
"Reviews172",0,"One of the best place for pizza in Kharagpur​"
"Reviews173",2,"Cool and romantic place. I've dating multiple girlfriends at that place and kissed her on corner side on valentines day <3"
"Reviews174",3,"Right place and good to refresh"
"Reviews175",1,"Good"
"Reviews176",1,"Great"
"Reviews177",2,"Good but not great."
"Reviews178",0,"Open till late evenings"
"Reviews179",1,"Well organised branch."
"Reviews180",1,"Best for pizza"
"Reviews181",0,"24 KGP car service"
"Reviews182",1,"Love it"
"Reviews183",1,"Very nice project.."
"Reviews184",1,"I Like Apps"
"Reviews185",1,"Very attractive"
"Reviews186",1,"Good one"
"Reviews187",1,"Fantastic"
"Reviews188",1,"Awesome"
"Reviews189",1,"Nice"
"Reviews190",0,"Not soooo gòoooodd quality"
"Reviews191",0,"Only Domino's of KGP."
"Reviews192",2,"Lovely service and interior and staff also good and caring"
"Reviews193",1,"May be upgraded there service"
"Reviews194",1,"Nice pizza shop."
"Reviews195",1,"Nicee...... service is too good"
"Reviews196",0,"Not many options"
"Reviews197",0,"Only pizza eatery"
"Reviews198",1,"Delicious pizza in awesum ambience!!!"
"Reviews199",1,"Nice one"
"Reviews200",2,"Very good pizza and snacks but service is more good than than"
"Reviews201",-1,"The fud,is,nt gud...n the pasta is fully waste :/"
"Reviews202",2,"This place is good as it is very cozy and so is the food"
"Reviews203",2,"Just another dominos outlet, it's quiet spacious."
"Reviews204",1,"nice place to visit with family."
"Reviews205",0,"Quite standard"
"Reviews206",1,"Nice place"
"Reviews207",1,"Wonderful pizza"
"Reviews208",1,"Lovely"
"Reviews209",0,"yummy"
"Reviews210",-1,"Very bad service"
"Reviews211",-1,"A place to hang out with friends..."
"Reviews212",0,"Ok"
"Reviews213",1,"Taste and service both are best. Must come with family members or friends."
"Reviews214",2,"You love pizza ? you're at the right place !"
"Reviews215",0,"Please don't go for extra cheese. Yuckk"
"Reviews216",0,"Only Domino's outlet in Kharagpur."
"Reviews217",2,"Good service and stuffs are very helpful."
"Reviews218",0,"Perfect place. Loved a lot. 😁"
"Reviews219",0,"yummy pizza"
"Reviews220",1,"Not so clean"
"Reviews221",1,"good place"
"Reviews222",1,"Cool"
"Reviews223",1,"Good place"
"Reviews224",2,"Good place with good pizza !!!!"
"Reviews225",0,"Tasty yummy 🍕"
"Reviews226",2,"Good foods is available....."
"Reviews227",0,"Pizza at kharagpur"
"Reviews228",1,"Loved the pizzas....good service"
"Reviews229",1,"Good place"
"Reviews230",0,"Expect long waiting time during weekends..."
"Reviews231",1,"Good place"
"Reviews232",1,"Good service"
"Reviews233",1,"Seating not very comfortable"
"Reviews234",1,"Love it!"
"Reviews235",1,"Loved it"
"Reviews236",1,"Pizza, loved it."
"Reviews237",1,"Good"
"Reviews238",1,"Service is not that good."
"Reviews239",1,"Very good"
"Reviews240",1,"Best."
"Reviews241",1,"It was a fantastic experience"
"Reviews242",1,"Very good.."
"Reviews243",1,"Less variety"
"Reviews244",1,"Nice place for hangout....."
"Reviews245",-1,"Bad experience"
"Reviews246",1,"Peaceful ambience"
"Reviews247",0,"Regular Domino's"
"Reviews248",0,"Yummy food"
"Reviews249",1,"Good"
"Reviews250",1,"Awesome"
"Reviews251",0,"But I never go..."
"Reviews252",1,"Delicious pizza."
"Reviews253",1,"Best service"
"Reviews254",1,"Well communicated store"
"Reviews255",1,"Superb"
"Reviews256",1,"Nice"
"Reviews257",-1,"They r very slow"
"Reviews258",0,"Food is not up to the mark and there is no WiFi service for the customer"
"Reviews259",1,"Nice place."
"Reviews260",1,"Home delivery is available but the service is not good..it takes more than 1hr to deliver pizzas to malancha."
"Reviews261",0,"online ordering facilities is not avalable for home delivery at kharagpur"
"Reviews262",1,"Good Product"
"Reviews263",1,"Good"
"Reviews264",1,"Love it"
"Reviews265",1,"loved it"
"Reviews266",1,"loved it"
"Reviews267",1,"Best service"
"Reviews268",1,"Good take away"
"Reviews269",2,"Good delicious food..."
"Reviews270",1,"Good place for foodies"
"Reviews271",1,"Communication is very good"
"Reviews272",0,"Good domino😊😉"
"Reviews273",1,"Very fast"
"Reviews274",1,"Very good"
"Reviews275",1,"Awesome place"
"Reviews276",1,"Nice dishes"
"Reviews277",1,"Good service"
"Reviews278",1,"Good indeed"
"Reviews279",1,"Cool place"
"Reviews280",1,"Good it is."
"Reviews281",1,"NICE PLACE"
"Reviews282",1,"really good.... but need to expand....."
"Reviews283",0,"Dominos or nothing"
"Reviews284",1,"Awesome pizza.."
"Reviews285",1,"nice place ..."
"Reviews286",1,"Good service."
"Reviews287",1,"Excellent..."
"Reviews288",1,"I like dominos very much!!!!!!!!"
"Reviews289",1,"Nice one"
"Reviews290",1,"It's great"
"Reviews291",-1,"Sometimes gets too crowded"
"Reviews292",0,"Gud service"
"Reviews293",-1,"Really bad service"
"Reviews294",1,"Pizza is nice"
"Reviews295",1,"Nice"
"Reviews296",1,"Nice pizza"
"Reviews297",1,"Cool"
"Reviews298",0,"McDonald's pizza"
"Reviews299",1,"Good"
"Reviews300",1,"Good"
"Reviews301",1,"Good"
"Reviews302",0,"Never been to"
"Reviews303",1,"Love it"
"Reviews304",0,"Pizzzza.Fantastic......"
"Reviews305",1,"Good"
"Reviews306",1,"Good"
"Reviews307",0,"For pizza"
"Reviews308",1,"Good as expected"
"Reviews309",1,"nice pizza.."
"Reviews310",1,"Nice"
"Reviews311",0,"Pizza restaurant."
"Reviews312",0,"I loveeeee domino s"
"Reviews313",1,"Nice pizza"
"Reviews314",0,"Polka place"
"Reviews315",-1,"Bad"
"Reviews316",1,"(Translated by Google) Great piece(Original)Great peza"
"Reviews317",0,"Favolous of kollata"
"Reviews318",1,"(Translated by Google) Taste the fun too(Original)Taste bhi masti bhi"
"Reviews319",0,"G8"
"Reviews320",0,"Nice👍"
"Reviews321",0,"(Translated by Google) Darun(Original)Darun"
"Reviews322",0,"aweesomme"
"1",267,"TOTAL"
