"","score","text"
"Reviews30",-1,"food is just okay but prices are insane as compared to other places in the campus and they also provide very less quantity for the prices."
"Reviews31",0,"You can go with family"
"Reviews32",2,"Good for normal indian food like pulao and sabji"
"Reviews33",1,"Food quality and taste is not consistent. Avoid if possible."
"Reviews34",2,"One if the best and well maintained resturant in IIT Kharagpur Campus"
"Reviews35",0,"Food is above average. They providing non halal chicken"
"Reviews36",0,"I had a pretty pathetic experience with them. Ordered some food, only half the things ordered were delivered to my apartment. they pick and choose which items they want to deliver. if you order Roti and Sabzi, it is possible only Roti …MoreI had a pretty pathetic experience with them. Ordered some food, only half the things ordered were delivered to my apartment. they pick and choose which items they want to deliver. if you order Roti and Sabzi, it is possible only Roti arrives. Speaking of Roti, it was ice cold by the time it reached me. when i complained, the guy on the phone was rather rude and said Roti is made all at once and stored in caserole and is naturally cold!  I will never order from here again and would advice you also to avoid this place..I gave a single star because zero stars is not allowed"
"Reviews37",1,"One of the nicest restaurants inside kgp campus"
"Reviews38",0,"Heritage Restaurant in the campus never disappoints us. The service is very good."
"Reviews39",2,"Good facilities, 4/5 for food. Could have done better for the price they charge"
"Reviews40",-1,"Food served tastes bad here."
"Reviews41",0,"Not tasty. Service is Okay."
"Reviews42",0,"Ok"
"Reviews43",1,"Nice place"
"Reviews44",2,"Mutton Korma is verry delicious and all items are good,especially momos are very good"
"Reviews45",0,"Expensive, food is not that great."
"Reviews46",1,"Good one, spicy food"
"Reviews47",1,"Very poor response and not a good meals. Maintenance is average. I wont prefer to go here again. I think 2 stars is more for this. aaah, may be 1.5"
"Reviews48",2,"The service is just top notch and the food is good but the maintenance puts them in the back seat."
"Reviews49",-1,"Rotten chowmein delivered at home"
"Reviews50",2,"This place is really good. But it's not good for South Indian foods"
"Reviews51",3,"The food is ok... Not that good.. you have better and cheaper options out here.."
"Reviews52",0,"No halal chicken is served"
"Reviews53",1,"Food is Good.Service is fast.Rates are reasonable. And its a A/C restaurant."
"Reviews54",-1,"The seating area is cramped and the food is above average."
"Reviews55",-3,"Poor and slow service. Please order everything together or else you will turn into a zombie waiting for the food to arrive."
"Reviews56",1,"I like it here"
"Reviews57",1,"Yum food,hyegenic,gud service & nice party place..."
"Reviews58",-1,"Probably worst food in kgp"
"Reviews59",1,"Better ambience than any other restaurants in campus"
"Reviews60",1,"Not so good"
"Reviews61",0,"Not maintaining quality."
"Reviews62",1,"environment is nice and the food quality is just awesome...best place to eat inside IIT Kgp"
"Reviews63",0,"Worst restaurant. The foods are not at all fresh. Once I got hair in the food."
"Reviews64",1,"Not so good. Costly but not worthy"
"Reviews65",-1,"Worst food in KGP after VS"
"Reviews66",0,"I gave a single star because zero stars is not allowed."
"Reviews67",1,"A poise place."
"Reviews68",1,"Quite good food !!"
"Reviews69",0,"Food quality and the ambience both are good. Only a little bit crowded everytime."
"Reviews70",1,"Proper dining space"
"Reviews71",1,"Good food."
"Reviews72",1,"Overall good food guys"
"Reviews73",0,"Nice alternative of mess food."
"Reviews74",3,"The quality of food is good and the ambience is nice as well. Although a bit costly, it's still a decent place to grab a meal."
"Reviews75",1,"Service good"
"Reviews76",1,"Best food and service inside IIT kgp"
"Reviews77",1,"Good food"
"Reviews78",-1,"Bad food"
"Reviews79",1,"Nice hotel"
"Reviews80",1,"Good food"
"Reviews81",1,"Best place to grab a meal..."
"Reviews82",2,"Good and delicious"
"Reviews83",0,"AC is a boon."
"Reviews84",1,"The food Quality is good."
"Reviews85",1,"The environment. ..food...and friendly behaviours  of staffs"
"Reviews86",1,"Good"
"Reviews87",-1,"expensive"
"Reviews88",0,"So so"
"Reviews89",1,"Excellent Food"
"Reviews90",0,"(Translated by Google) Okkk Okkk restaurant in Iit Kgp. …More(Translated by Google) Okkk Okkk restaurant in Iit Kgp.(Original)Okkk Okkk restaurant in iit kgp."
"Reviews91",0,"(Translated by Google) Are good.(Original)Achcha h."
"1",77,"TOTAL"
